date,time,route_id,route_name,priority,road_type,temperature_c,feels_like_c,humidity_pct,wind_speed_kmh,precipitation_type,precipitation_prob_pct,road_surface_temp_c,forecast_min_temp_c,ice_risk,snow_risk,gritting_decision,salt_amount_kg,spread_rate_g_m2,route_length_km,estimated_duration_min
2024-11-15,18:00,R001,Queensferry Road,1,A-road,-1.2,-4.5,85,15,rain,75,-0.5,-2.0,high,low,gritted,850,25,17.0,45
2024-11-15,18:00,R002,Leith Walk,1,A-road,-0.8,-3.9,82,12,rain,75,-0.3,-2.0,high,low,gritted,720,25,14.4,40
2024-11-15,18:00,R003,Morningside Road,1,B-road,0.5,-2.1,78,10,none,20,1.2,-1.5,medium,low,not_gritted,0,0,12.0,0
2024-11-16,06:00,R001,Queensferry Road,1,A-road,-3.5,-7.2,88,18,snow,85,-4.2,-5.0,high,high,gritted,1360,40,17.0,50
2024-11-16,06:00,R002,Leith Walk,1,A-road,-3.2,-6.8,86,16,snow,85,-3.8,-5.0,high,high,gritted,1152,40,14.4,45
2024-11-16,06:00,R003,Morningside Road,1,B-road,-3.0,-6.5,84,15,snow,85,-3.5,-5.0,high,high,gritted,960,40,12.0,42
2024-11-16,06:00,R004,Corstorphine Road,1,A-road,-3.1,-6.7,87,17,snow,85,-3.7,-5.0,high,high,gritted,1190,40,14.9,46
2024-11-16,22:00,R001,Queensferry Road,1,A-road,-2.0,-5.5,90,20,sleet,65,-2.5,-3.5,high,medium,gritted,1020,30,17.0,47
2024-11-16,22:00,R005,Dalkeith Road,2,B-road,-1.8,-5.2,88,18,sleet,65,-2.2,-3.5,high,medium,gritted,360,30,6.0,25
2024-11-17,03:00,R001,Queensferry Road,1,A-road,-4.0,-8.0,92,22,snow,90,-5.0,-6.0,high,high,gritted,1360,40,17.0,52
2024-11-17,14:00,R001,Queensferry Road,1,A-road,1.5,-1.2,70,12,none,10,2.5,0.5,low,low,not_gritted,0,0,17.0,0
2024-11-17,14:00,R002,Leith Walk,1,A-road,2.0,-0.8,68,10,none,10,3.0,1.0,low,low,not_gritted,0,0,14.4,0
2024-11-18,19:00,R001,Queensferry Road,1,A-road,-0.5,-3.8,80,15,rain,70,0.2,-1.0,medium,low,gritted,680,20,17.0,43
2024-11-18,19:00,R002,Leith Walk,1,A-road,-0.3,-3.5,78,14,rain,70,0.5,-1.0,medium,low,gritted,576,20,14.4,38
2024-11-18,19:00,R006,Portobello Road,2,B-road,-0.2,-3.2,76,13,rain,70,0.6,-1.0,medium,low,not_gritted,0,0,8.5,0
2024-11-19,05:00,R001,Queensferry Road,1,A-road,-1.5,-5.0,85,18,none,30,-1.0,-2.5,high,low,gritted,850,25,17.0,45
2024-11-19,05:00,R002,Leith Walk,1,A-road,-1.3,-4.7,83,16,none,30,-0.8,-2.5,high,low,gritted,720,25,14.4,41
2024-11-19,05:00,R003,Morningside Road,1,B-road,-1.2,-4.5,82,15,none,30,-0.7,-2.5,high,low,gritted,600,25,12.0,39
2024-11-20,17:30,R001,Queensferry Road,1,A-road,3.0,0.5,65,8,none,5,4.0,2.0,low,low,not_gritted,0,0,17.0,0
2024-11-20,17:30,R002,Leith Walk,1,A-road,3.5,1.0,62,7,none,5,4.5,2.5,low,low,not_gritted,0,0,14.4,0
2024-11-21,04:00,R001,Queensferry Road,1,A-road,-2.5,-6.5,88,20,sleet,75,-3.0,-4.0,high,medium,gritted,1020,30,17.0,48
2024-11-21,04:00,R002,Leith Walk,1,A-road,-2.3,-6.2,86,19,sleet,75,-2.8,-4.0,high,medium,gritted,864,30,14.4,44
2024-11-21,04:00,R004,Corstorphine Road,1,A-road,-2.4,-6.3,87,19,sleet,75,-2.9,-4.0,high,medium,gritted,894,30,14.9,45
2024-11-21,04:00,R007,Ferry Road,1,A-road,-2.2,-6.0,85,18,sleet,75,-2.7,-4.0,high,medium,gritted,630,30,10.5,38
2024-11-22,20:00,R001,Queensferry Road,1,A-road,-0.8,-4.2,82,16,rain,80,0.0,-1.5,high,low,gritted,850,25,17.0,45
2024-11-22,20:00,R005,Dalkeith Road,2,B-road,-0.6,-3.8,80,14,rain,80,0.2,-1.5,medium,low,not_gritted,0,0,6.0,0
2024-11-23,07:00,R001,Queensferry Road,1,A-road,-5.0,-9.5,90,25,snow,95,-6.0,-7.0,high,high,gritted,1360,40,17.0,55
2024-11-23,07:00,R002,Leith Walk,1,A-road,-4.8,-9.2,89,24,snow,95,-5.8,-7.0,high,high,gritted,1152,40,14.4,50
2024-11-23,07:00,R003,Morningside Road,1,B-road,-4.7,-9.0,88,23,snow,95,-5.6,-7.0,high,high,gritted,960,40,12.0,48
2024-11-23,07:00,R004,Corstorphine Road,1,A-road,-4.9,-9.3,89,24,snow,95,-5.9,-7.0,high,high,gritted,1190,40,14.9,51
2024-11-23,07:00,R005,Dalkeith Road,2,B-road,-4.6,-8.8,87,22,snow,95,-5.5,-7.0,high,high,gritted,480,40,6.0,30
2024-11-23,15:00,R001,Queensferry Road,1,A-road,-2.0,-5.8,85,20,snow,60,-2.8,-4.0,high,high,gritted,1020,30,17.0,48
2024-11-24,02:00,R001,Queensferry Road,1,A-road,-3.5,-7.8,91,23,sleet,85,-4.2,-5.5,high,high,gritted,1190,35,17.0,50
2024-11-24,02:00,R002,Leith Walk,1,A-road,-3.3,-7.5,90,22,sleet,85,-4.0,-5.5,high,high,gritted,1008,35,14.4,47
2024-11-24,18:00,R001,Queensferry Road,1,A-road,0.5,-2.5,75,12,rain,40,1.2,-0.5,low,low,not_gritted,0,0,17.0,0
2024-11-25,05:30,R001,Queensferry Road,1,A-road,-1.0,-4.5,84,17,none,35,-0.5,-2.0,high,low,gritted,850,25,17.0,45
2024-11-25,05:30,R002,Leith Walk,1,A-road,-0.8,-4.2,82,16,none,35,-0.3,-2.0,high,low,gritted,720,25,14.4,41
2024-11-25,05:30,R003,Morningside Road,1,B-road,-0.7,-4.0,81,15,none,35,-0.2,-2.0,medium,low,gritted,600,25,12.0,39
2024-11-26,21:00,R001,Queensferry Road,1,A-road,-2.8,-6.8,89,21,snow,80,-3.5,-4.5,high,high,gritted,1190,35,17.0,49
2024-11-26,21:00,R004,Corstorphine Road,1,A-road,-2.7,-6.6,88,20,snow,80,-3.4,-4.5,high,high,gritted,1044,35,14.9,47
2024-11-27,03:00,R001,Queensferry Road,1,A-road,-4.5,-9.0,92,26,snow,90,-5.5,-6.5,high,high,gritted,1360,40,17.0,53
2024-11-27,13:00,R001,Queensferry Road,1,A-road,2.5,0.0,68,10,none,10,3.5,1.5,low,low,not_gritted,0,0,17.0,0
